Id,date_d,time_h,Calories,TotalIntensity,AverageIntensity,StepTotal
1503960366,04-12-2016,0,81,20,0.333333,373
1503960366,04-12-2016,1,61,8,0.133333,160
1503960366,04-12-2016,2,59,7,0.116667,151
1503960366,04-12-2016,3,47,0,0,0
1503960366,04-12-2016,4,48,0,0,0
1503960366,04-12-2016,5,48,0,0,0
1503960366,04-12-2016,6,48,0,0,0
1503960366,04-12-2016,7,47,0,0,0
1503960366,04-12-2016,8,68,13,0.216667,250
1503960366,04-12-2016,9,141,30,0.5,1864
1503960366,04-12-2016,10,99,29,0.483333,676
1503960366,04-12-2016,11,76,12,0.2,360
1503960366,04-12-2016,12,73,11,0.183333,253
1503960366,04-12-2016,13,66,6,0.1,221
1503960366,04-12-2016,14,110,36,0.6,1166
1503960366,04-12-2016,15,151,58,0.966667,2063
1503960366,04-12-2016,16,76,13,0.216667,344
1503960366,04-12-2016,17,83,16,0.266667,489
1503960366,04-12-2016,18,124,29,0.483333,1386
1503960366,04-12-2016,19,104,39,0.65,558
1503960366,04-12-2016,20,132,41,0.683333,1733
1503960366,04-12-2016,21,100,31,0.516667,684
1503960366,04-12-2016,22,65,9,0.15,89
1503960366,04-12-2016,23,81,21,0.35,338
1503960366,4/13/2016,0,69,14,0.233333,144
1503960366,4/13/2016,1,48,0,0,0
1503960366,4/13/2016,2,47,0,0,0
1503960366,4/13/2016,3,53,4,0.066667,36
1503960366,4/13/2016,4,47,0,0,0
1503960366,4/13/2016,5,47,0,0,0
1503960366,4/13/2016,6,48,0,0,0
1503960366,4/13/2016,7,59,8,0.133333,126
1503960366,4/13/2016,8,69,12,0.2,275
1503960366,4/13/2016,9,136,27,0.45,1679
1503960366,4/13/2016,10,77,15,0.25,295
1503960366,4/13/2016,11,84,16,0.266667,524
1503960366,4/13/2016,12,82,15,0.25,486
1503960366,4/13/2016,13,72,10,0.166667,302
1503960366,4/13/2016,14,128,46,0.766667,1577
1503960366,4/13/2016,15,79,13,0.216667,493
1503960366,4/13/2016,16,71,10,0.166667,299
1503960366,4/13/2016,17,87,23,0.383333,695
1503960366,4/13/2016,18,118,25,0.416667,1343
1503960366,4/13/2016,19,73,13,0.216667,258
1503960366,4/13/2016,20,47,0,0,0
1503960366,4/13/2016,21,48,0,0,0
1503960366,4/13/2016,22,74,11,0.183333,437
1503960366,4/13/2016,23,135,56,0.933333,1766
1503960366,4/14/2016,0,56,4,0.066667,81
1503960366,4/14/2016,1,54,3,0.05,58
1503960366,4/14/2016,2,47,0,0,0
1503960366,4/14/2016,3,47,0,0,0
1503960366,4/14/2016,4,47,0,0,0
1503960366,4/14/2016,5,47,0,0,0
1503960366,4/14/2016,6,47,0,0,0
1503960366,4/14/2016,7,47,0,0,0
1503960366,4/14/2016,8,47,0,0,0
1503960366,4/14/2016,9,93,14,0.233333,902
1503960366,4/14/2016,10,109,23,0.383333,1106
1503960366,4/14/2016,11,64,7,0.116667,50
1503960366,4/14/2016,12,85,18,0.3,501
1503960366,4/14/2016,13,137,54,0.9,1779
1503960366,4/14/2016,14,113,22,0.366667,1228
1503960366,4/14/2016,15,66,7,0.116667,139
1503960366,4/14/2016,16,88,25,0.416667,408
1503960366,4/14/2016,17,61,5,0.083333,37
1503960366,4/14/2016,18,72,12,0.2,322
1503960366,4/14/2016,19,55,1,0.016667,11
1503960366,4/14/2016,20,91,24,0.4,806
1503960366,4/14/2016,21,174,57,0.95,2670
1503960366,4/14/2016,22,79,17,0.283333,362
1503960366,4/14/2016,23,50,0,0,0
1503960366,4/15/2016,0,60,6,0.1,83
1503960366,4/15/2016,1,58,5,0.083333,75
1503960366,4/15/2016,2,59,7,0.116667,124
1503960366,4/15/2016,3,47,0,0,0
1503960366,4/15/2016,4,47,0,0,0
1503960366,4/15/2016,5,49,1,0.016667,26
1503960366,4/15/2016,6,47,0,0,0
1503960366,4/15/2016,7,49,1,0.016667,7
1503960366,4/15/2016,8,54,5,0.083333,55
1503960366,4/15/2016,9,50,2,0.033333,21
1503960366,4/15/2016,10,63,8,0.133333,154
1503960366,4/15/2016,11,84,23,0.383333,425
1503960366,4/15/2016,12,74,13,0.216667,270
1503960366,4/15/2016,13,67,9,0.15,373
1503960366,4/15/2016,14,47,0,0,0
1503960366,4/15/2016,15,47,0,0,0
1503960366,4/15/2016,16,47,0,0,0
1503960366,4/15/2016,17,140,47,0.783333,1774
1503960366,4/15/2016,18,87,22,0.366667,509
1503960366,4/15/2016,19,97,32,0.533333,519
1503960366,4/15/2016,20,64,8,0.133333,77
1503960366,4/15/2016,21,75,14,0.233333,280
1503960366,4/15/2016,22,151,66,1.1,2145
1503960366,4/15/2016,23,182,95,1.583333,2768
1503960366,4/16/2016,0,77,15,0.25,459
1503960366,4/16/2016,1,48,0,0,0
1503960366,4/16/2016,2,52,3,0.05,63
1503960366,4/16/2016,3,48,1,0.016667,6
1503960366,4/16/2016,4,49,1,0.016667,6
1503960366,4/16/2016,5,49,1,0.016667,12
1503960366,4/16/2016,6,48,0,0,0
1503960366,4/16/2016,7,54,4,0.066667,101
1503960366,4/16/2016,8,62,9,0.15,175
1503960366,4/16/2016,9,124,38,0.633333,1181
1503960366,4/16/2016,10,110,14,0.233333,1295
1503960366,4/16/2016,11,147,30,0.5,2043
1503960366,4/16/2016,12,119,42,0.7,1513
1503960366,4/16/2016,13,214,90,1.5,3616
1503960366,4/16/2016,14,82,20,0.333333,580
1503960366,4/16/2016,15,51,0,0,0
1503960366,4/16/2016,16,54,2,0.033333,15
1503960366,4/16/2016,17,79,17,0.283333,380
1503960366,4/16/2016,18,65,10,0.166667,96
1503960366,4/16/2016,19,67,12,0.2,146
1503960366,4/16/2016,20,81,19,0.316667,385
1503960366,4/16/2016,21,75,13,0.216667,463
1503960366,4/16/2016,22,55,3,0.05,42
1503960366,4/16/2016,23,56,5,0.083333,92
1503960366,4/17/2016,0,47,0,0,0
1503960366,4/17/2016,1,48,0,0,0
1503960366,4/17/2016,2,47,0,0,0
1503960366,4/17/2016,3,49,1,0.016667,8
1503960366,4/17/2016,4,48,0,0,0
1503960366,4/17/2016,5,48,0,0,0
1503960366,4/17/2016,6,48,0,0,0
1503960366,4/17/2016,7,48,0,0,0
1503960366,4/17/2016,8,48,0,0,0
1503960366,4/17/2016,9,48,0,0,0
1503960366,4/17/2016,10,47,0,0,0
1503960366,4/17/2016,11,63,9,0.15,84
1503960366,4/17/2016,12,76,18,0.3,260
1503960366,4/17/2016,13,83,23,0.383333,402
1503960366,4/17/2016,14,69,10,0.166667,252
1503960366,4/17/2016,15,73,13,0.216667,191
1503960366,4/17/2016,16,57,2,0.033333,13
1503960366,4/17/2016,17,174,71,1.183333,2613
1503960366,4/17/2016,18,136,39,0.65,1616
1503960366,4/17/2016,19,95,24,0.4,754
1503960366,4/17/2016,20,191,87,1.45,2955
1503960366,4/17/2016,21,79,16,0.266667,487
1503960366,4/17/2016,22,58,5,0.083333,70
1503960366,4/17/2016,23,50,0,0,0
1503960366,4/18/2016,0,82,21,0.35,416
1503960366,4/18/2016,1,48,0,0,0
1503960366,4/18/2016,2,47,0,0,0
1503960366,4/18/2016,3,47,0,0,0
1503960366,4/18/2016,4,47,0,0,0
1503960366,4/18/2016,5,47,0,0,0
1503960366,4/18/2016,6,47,0,0,0
1503960366,4/18/2016,7,47,0,0,0
1503960366,4/18/2016,8,47,0,0,0
1503960366,4/18/2016,9,133,39,0.65,1688
1503960366,4/18/2016,10,81,17,0.283333,380
1503960366,4/18/2016,11,73,15,0.25,328
1503960366,4/18/2016,12,118,40,0.666667,1306
1503960366,4/18/2016,13,70,9,0.15,268
1503960366,4/18/2016,14,64,7,0.116667,137
1503960366,4/18/2016,15,80,14,0.233333,495
1503960366,4/18/2016,16,78,17,0.283333,277
1503960366,4/18/2016,17,79,18,0.3,304
1503960366,4/18/2016,18,234,114,1.9,4074
1503960366,4/18/2016,19,157,30,0.5,2101
1503960366,4/18/2016,20,57,2,0.033333,28
1503960366,4/18/2016,21,68,11,0.183333,187
1503960366,4/18/2016,22,86,19,0.316667,542
1503960366,4/18/2016,23,83,18,0.3,488
1503960366,4/19/2016,0,47,0,0,0
1503960366,4/19/2016,1,49,1,0.016667,22
1503960366,4/19/2016,2,47,0,0,0
1503960366,4/19/2016,3,50,2,0.033333,9
1503960366,4/19/2016,4,47,0,0,0
1503960366,4/19/2016,5,47,0,0,0
1503960366,4/19/2016,6,49,1,0.016667,7
1503960366,4/19/2016,7,75,19,0.316667,316
1503960366,4/19/2016,8,130,38,0.633333,1656
1503960366,4/19/2016,9,79,16,0.266667,367
1503960366,4/19/2016,10,75,16,0.266667,203
1503960366,4/19/2016,11,72,13,0.216667,194
1503960366,4/19/2016,12,143,61,1.016667,1887
1503960366,4/19/2016,13,171,65,1.083333,2697
1503960366,4/19/2016,14,76,12,0.2,409
1503960366,4/19/2016,15,72,12,0.2,299
1503960366,4/19/2016,16,71,9,0.15,297
1503960366,4/19/2016,17,90,13,0.216667,732
1503960366,4/19/2016,18,120,30,0.5,1280
1503960366,4/19/2016,19,93,31,0.516667,397
1503960366,4/19/2016,20,159,69,1.15,2487
1503960366,4/19/2016,21,94,16,0.266667,826
1503960366,4/19/2016,22,58,4,0.066667,52
1503960366,4/19/2016,23,120,48,0.8,1369
1503960366,4/20/2016,0,54,2,0.033333,16
1503960366,4/20/2016,1,53,2,0.033333,36
1503960366,4/20/2016,2,47,0,0,0
1503960366,4/20/2016,3,48,0,0,0
1503960366,4/20/2016,4,48,0,0,0
1503960366,4/20/2016,5,47,0,0,0
1503960366,4/20/2016,6,48,0,0,0
1503960366,4/20/2016,7,51,3,0.05,29
1503960366,4/20/2016,8,70,14,0.233333,264
1503960366,4/20/2016,9,144,50,0.833333,1993
1503960366,4/20/2016,10,79,13,0.216667,459
1503960366,4/20/2016,11,58,1,0.016667,65
1503960366,4/20/2016,12,64,8,0.133333,185
1503960366,4/20/2016,13,61,5,0.083333,64
1503960366,4/20/2016,14,113,39,0.65,1270
1503960366,4/20/2016,15,97,21,0.35,797
1503960366,4/20/2016,16,70,11,0.183333,261
1503960366,4/20/2016,17,57,2,0.033333,13
1503960366,4/20/2016,18,114,32,0.533333,1308
1503960366,4/20/2016,19,117,36,0.6,1558
1503960366,4/20/2016,20,80,12,0.2,499
1503960366,4/20/2016,21,83,22,0.366667,395
1503960366,4/20/2016,22,62,7,0.116667,77
1503960366,4/20/2016,23,120,33,0.55,1255
1503960366,4/21/2016,0,54,2,0.033333,17
1503960366,4/21/2016,1,61,8,0.133333,129
1503960366,4/21/2016,2,55,5,0.083333,81
1503960366,4/21/2016,3,48,0,0,0
1503960366,4/21/2016,4,47,0,0,0
1503960366,4/21/2016,5,47,0,0,0
1503960366,4/21/2016,6,48,0,0,0
1503960366,4/21/2016,7,52,3,0.05,38
1503960366,4/21/2016,8,71,15,0.25,245
1503960366,4/21/2016,9,133,26,0.433333,1672
1503960366,4/21/2016,10,77,16,0.266667,255
1503960366,4/21/2016,11,55,0,0,0
1503960366,4/21/2016,12,73,11,0.183333,384
1503960366,4/21/2016,13,113,25,0.416667,1140
1503960366,4/21/2016,14,58,2,0.033333,12
1503960366,4/21/2016,15,68,8,0.133333,213
1503960366,4/21/2016,16,60,4,0.066667,26
1503960366,4/21/2016,17,60,5,0.083333,96
1503960366,4/21/2016,18,69,9,0.15,213
1503960366,4/21/2016,19,64,8,0.133333,100
1503960366,4/21/2016,20,213,92,1.533333,3541
1503960366,4/21/2016,21,104,21,0.35,970
1503960366,4/21/2016,22,63,9,0.15,89
1503960366,4/21/2016,23,84,15,0.25,598
1503960366,4/22/2016,0,47,0,0,0
1503960366,4/22/2016,1,47,0,0,0
1503960366,4/22/2016,2,47,0,0,0
1503960366,4/22/2016,3,47,0,0,0
1503960366,4/22/2016,4,47,0,0,0
1503960366,4/22/2016,5,47,0,0,0
1503960366,4/22/2016,6,47,0,0,0
1503960366,4/22/2016,7,47,0,0,0
1503960366,4/22/2016,8,47,0,0,0
1503960366,4/22/2016,9,65,13,0.216667,192
1503960366,4/22/2016,10,54,2,0.033333,29
1503960366,4/22/2016,11,102,34,0.566667,958
1503960366,4/22/2016,12,57,2,0.033333,38
1503960366,4/22/2016,13,60,4,0.066667,118
1503960366,4/22/2016,14,54,0,0,0
1503960366,4/22/2016,15,66,10,0.166667,180
1503960366,4/22/2016,16,58,4,0.066667,22
1503960366,4/22/2016,17,104,18,0.3,1041
1503960366,4/22/2016,18,87,23,0.383333,514
1503960366,4/22/2016,19,82,16,0.266667,629
1503960366,4/22/2016,20,71,13,0.216667,329
1503960366,4/22/2016,21,311,159,2.65,5934
1503960366,4/22/2016,22,95,30,0.5,855
1503960366,4/22/2016,23,136,54,0.9,1925
1503960366,4/23/2016,0,63,9,0.15,182
1503960366,4/23/2016,1,47,0,0,0
1503960366,4/23/2016,2,49,1,0.016667,11
1503960366,4/23/2016,3,47,0,0,0
1503960366,4/23/2016,4,47,0,0,0
1503960366,4/23/2016,5,48,0,0,0
1503960366,4/23/2016,6,50,2,0.033333,12
1503960366,4/23/2016,7,48,0,0,0
1503960366,4/23/2016,8,59,8,0.133333,127
1503960366,4/23/2016,9,75,17,0.283333,285
1503960366,4/23/2016,10,56,4,0.066667,49
1503960366,4/23/2016,11,84,11,0.183333,703
1503960366,4/23/2016,12,129,49,0.816667,1597
1503960366,4/23/2016,13,129,51,0.85,1453
1503960366,4/23/2016,14,78,20,0.333333,202
1503960366,4/23/2016,15,73,15,0.25,158
1503960366,4/23/2016,16,140,52,0.866667,2008
1503960366,4/23/2016,17,121,26,0.433333,1472
1503960366,4/23/2016,18,173,66,1.1,2569
1503960366,4/23/2016,19,51,2,0.033333,29
1503960366,4/23/2016,20,63,9,0.15,142
1503960366,4/23/2016,21,162,54,0.9,2432
1503960366,4/23/2016,22,96,25,0.416667,709
1503960366,4/23/2016,23,60,6,0.1,231
1503960366,4/24/2016,0,66,10,0.166667,141
1503960366,4/24/2016,1,54,2,0.033333,42
1503960366,4/24/2016,2,48,0,0,0
1503960366,4/24/2016,3,48,0,0,0
1503960366,4/24/2016,4,49,1,0.016667,8
1503960366,4/24/2016,5,48,0,0,0
1503960366,4/24/2016,6,49,1,0.016667,7
1503960366,4/24/2016,7,47,0,0,0
1503960366,4/24/2016,8,49,1,0.016667,8
1503960366,4/24/2016,9,59,8,0.133333,76
1503960366,4/24/2016,10,90,26,0.433333,492
1503960366,4/24/2016,11,67,12,0.2,149
1503960366,4/24/2016,12,82,12,0.2,548
1503960366,4/24/2016,13,74,12,0.2,394
1503960366,4/24/2016,14,52,1,0.016667,26
1503960366,4/24/2016,15,52,2,0.033333,27
1503960366,4/24/2016,16,102,29,0.483333,885
1503960366,4/24/2016,17,86,25,0.416667,411
1503960366,4/24/2016,18,115,40,0.666667,911
1503960366,4/24/2016,19,270,131,2.183333,4871
1503960366,4/24/2016,20,76,18,0.3,342
1503960366,4/24/2016,21,74,17,0.283333,244
1503960366,4/24/2016,22,61,7,0.116667,66
1503960366,4/24/2016,23,72,10,0.166667,391
1503960366,4/25/2016,0,62,8,0.133333,95
1503960366,4/25/2016,1,53,3,0.05,22
1503960366,4/25/2016,2,57,6,0.1,97
1503960366,4/25/2016,3,47,0,0,0
1503960366,4/25/2016,4,50,2,0.033333,25
1503960366,4/25/2016,5,49,1,0.016667,4
1503960366,4/25/2016,6,47,0,0,0
1503960366,4/25/2016,7,52,3,0.05,44
1503960366,4/25/2016,8,83,22,0.366667,426
1503960366,4/25/2016,9,146,46,0.766667,2041
1503960366,4/25/2016,10,73,12,0.2,258
1503960366,4/25/2016,11,121,24,0.4,1468
